Pin_number,Date_measured,pin_height_mean_cm,change_from_baseline_cm,days_since_baseline,erosion_rate_cm_per_day,interval_change_cm,interval_days,interval_rate_cm_per_day
Pin 1,2021-10-07,135.202,0.0,0,,,,
Pin 1,2021-10-26,110.587,-24.614999999999995,19,-1.2955263157894734,-24.614999999999995,19.0,-1.2955263157894734
Pin 1,2022-04-15,119.7,-15.501999999999995,190,-0.0815894736842105,9.113,171.0,0.05329239766081871
Pin 1,2022-10-15,140.633,5.431000000000012,373,0.014560321715817726,20.933000000000007,183.0,0.11438797814207655
Pin 1,2025-05-31,101.202,-34.0,1332,-0.025525525525525526,-39.43100000000001,959.0,-0.04111678832116789
Pin 1,2025-10-25,103.168,-32.03399999999999,1479,-0.021659229208924945,1.9660000000000082,147.0,0.013374149659864002
Pin 1,2026-04-09,89.332,-45.870000000000005,1645,-0.027884498480243165,-13.836000000000013,166.0,-0.08334939759036153
Pin 1,2026-04-18,92.724,-42.477999999999994,1654,-0.025681983071342198,3.39200000000001,9.0,0.37688888888889
Pin 2,2021-10-07,132.003,0.0,0,,,,
Pin 2,2021-10-26,123.37,-8.632999999999981,19,-0.4543684210526306,-8.632999999999981,19.0,-0.4543684210526306
Pin 2,2022-04-15,132.625,0.6220000000000141,190,0.00327368421052639,9.254999999999995,171.0,0.054122807017543836
Pin 2,2022-10-15,162.003,30.0,373,0.08042895442359249,29.377999999999986,183.0,0.16053551912568298
Pin 2,2025-05-31,110.004,-21.99899999999998,1332,-0.01651576576576575,-51.99899999999998,959.0,-0.05422210636079247
Pin 2,2025-10-25,149.072,17.069000000000017,1479,0.011540906017579457,39.068,147.0,0.2657687074829932
Pin 2,2026-04-09,52.18,-79.82299999999998,1645,-0.04852462006079026,-96.892,166.0,-0.5836867469879518
Pin 2,2026-04-18,50.39,-81.61299999999999,1654,-0.0493428053204353,-1.7899999999999991,9.0,-0.19888888888888878
Pin 3,2021-10-07,140.898,0.0,0,,,,
Pin 3,2021-10-26,133.613,-7.284999999999997,19,-0.3834210526315788,-7.284999999999997,19.0,-0.3834210526315788
Pin 3,2022-04-15,150.25,9.352000000000004,190,0.04922105263157897,16.637,171.0,0.09729239766081872
Pin 3,2022-10-15,160.897,19.998999999999995,373,0.053616621983914196,10.646999999999991,183.0,0.05818032786885241
Pin 3,2025-05-31,117.898,-23.0,1332,-0.017267267267267267,-42.998999999999995,959.0,-0.04483733055265902
Pin 3,2025-10-25,170.26,29.361999999999995,1479,0.0198526031102096,52.361999999999995,147.0,0.35620408163265305
Pin 3,2026-04-09,125.214,-15.683999999999997,1645,-0.009534346504559268,-45.04599999999999,166.0,-0.2713614457831325
Pin 3,2026-04-18,128.112,-12.786000000000001,1654,-0.007730350665054415,2.897999999999996,9.0,0.32199999999999956
Pin 4,2021-10-07,124.705,0.0,0,,,,
Pin 4,2021-10-26,119.347,-5.358000000000004,19,-0.2820000000000002,-5.358000000000004,19.0,-0.2820000000000002
Pin 4,2022-04-15,119.075,-5.6299999999999955,190,-0.029631578947368398,-0.27199999999999136,171.0,-0.0015906432748537507
Pin 4,2022-10-15,137.967,13.262000000000015,373,0.035554959785522824,18.89200000000001,183.0,0.10323497267759568
Pin 4,2025-05-31,100.705,-24.0,1332,-0.018018018018018018,-37.262000000000015,959.0,-0.038855057351407735
Pin 4,2025-10-25,142.724,18.01899999999999,1479,0.012183231913455031,42.01899999999999,147.0,0.28584353741496593
Pin 4,2026-04-09,142.666,17.961,1645,0.01091854103343465,-0.057999999999992724,166.0,-0.00034939759036140195
Pin 4,2026-04-18,145.378,20.672999999999988,1654,0.012498790810157187,2.711999999999989,9.0,0.3013333333333321
Pin 5,2021-10-07,148.803,0.0,0,,,,
Pin 5,2021-10-26,139.267,-9.536000000000001,19,-0.5018947368421053,-9.536000000000001,19.0,-0.5018947368421053
Pin 5,2022-04-15,145.65,-3.1529999999999916,190,-0.016594736842105218,6.38300000000001,171.0,0.037327485380117015
Pin 5,2022-10-15,176.804,28.001000000000005,373,0.07506970509383379,31.153999999999996,183.0,0.17024043715846993
Pin 5,2025-05-31,122.803,-26.0,1332,-0.01951951951951952,-54.001000000000005,959.0,-0.05630969760166841
Pin 5,2025-10-25,175.582,26.778999999999996,1479,0.018106152805949963,52.778999999999996,147.0,0.35904081632653057
Pin 5,2026-04-09,169.562,20.759000000000015,1645,0.012619452887538003,-6.019999999999982,166.0,-0.036265060240963744
Pin 5,2026-04-18,174.036,25.233000000000004,1654,0.015255743651753327,4.4739999999999895,9.0,0.49711111111110995
Pin 6,2021-10-07,140.03,0.0,0,,,,
Pin 6,2021-10-26,123.26,-16.769999999999996,19,-0.8826315789473682,-16.769999999999996,19.0,-0.8826315789473682
Pin 6,2022-04-15,131.175,-8.85499999999999,190,-0.046605263157894684,7.915000000000006,171.0,0.046286549707602376
Pin 6,2022-10-15,147.567,7.537000000000006,373,0.020206434316353904,16.391999999999996,183.0,0.08957377049180326
Pin 6,2025-05-31,110.03,-30.0,1332,-0.02252252252252252,-37.537000000000006,959.0,-0.03914181438998958
Pin 6,2025-10-25,146.62,6.590000000000003,1479,0.004455713319810685,36.59,147.0,0.24891156462585037
Pin 6,2026-04-09,134.048,-5.981999999999999,1645,-0.003636474164133738,-12.572000000000003,166.0,-0.07573493975903615
Pin 6,2026-04-18,134.258,-5.771999999999991,1654,-0.0034897218863361498,0.21000000000000796,9.0,0.02333333333333422
