site,Pin_number,mean_cm_2026-04-09,mean_cm_2026-04-18,change_cm,rate_cm_per_day
Capps Crossing,Pin 1,89.332,92.724,3.39200000000001,0.37688888888889
Capps Crossing,Pin 2,52.18,50.39,-1.7899999999999991,-0.19888888888888878
Capps Crossing,Pin 3,125.214,128.112,2.897999999999996,0.32199999999999956
Capps Crossing,Pin 4,142.666,145.378,2.711999999999989,0.3013333333333321
Capps Crossing,Pin 5,169.562,174.036,4.4739999999999895,0.49711111111110995
Capps Crossing,Pin 6,134.048,134.258,0.21000000000000796,0.02333333333333422
Sly Park,Pin 1,179.738,178.148,-1.5900000000000034,-0.17666666666666705
Sly Park,Pin 2,157.234,153.177,-4.057000000000016,-0.4507777777777796
Sly Park,Pin 3,147.838,152.995,5.157000000000011,0.5730000000000012
Sly Park,Pin 4,114.87,122.804,7.9339999999999975,0.8815555555555553
Sly Park,Pin 5,140.342,147.622,7.280000000000001,0.808888888888889
Sly Park,Pin 6,,151.628,,
Sly Park,Pin 7,135.148,137.576,2.4279999999999973,0.26977777777777745
Sly Park,Pin 8,136.552,142.674,6.122000000000014,0.6802222222222238
Sly Park,Pin 9,141.994,147.776,5.782000000000011,0.6424444444444456
Sly Park,Pin 10,126.112,132.732,6.6200000000000045,0.7355555555555561
