Pin,Oct 07 '21 to Oct 26 '21 (19 d),Oct 26 '21 to Apr 15 '22 (171 d),Apr 15 '22 to May 31 '25 (1142 d),May 31 '25 to Oct 25 '25 (147 d),Oct 25 '25 to Apr 09 '26 (166 d),Apr 09 '26 to Apr 18 '26 (9 d)
Pin 1,-0.6799,0.0061,0.024,0.079,0.0114,-0.1767
Pin 2,-0.5787,,,0.2503,0.0134,-0.4508
Pin 3,-1.8274,0.0685,0.0068,0.1214,-0.0196,0.573
Pin 4,-1.1816,0.058,0.011,0.107,-0.0256,0.8816
Pin 5,-0.58,0.0003,0.0207,-0.0645,-0.0148,0.8089
Pin 6,-0.5308,0.0029,0.0174,-0.0528,,
Pin 7,-0.6792,0.0172,0.0183,-0.0733,-0.0179,0.2698
Pin 8,-0.0201,0.0105,0.0218,-0.0104,-0.0303,0.6802
Pin 9,-0.2517,0.0331,0.0093,0.1746,-0.0565,0.6424
Pin 10,-0.6919,0.0319,0.0169,0.0201,-0.1078,0.7356
